imdb_id,title,year
tt0112744,The Crossing Guard,1995
tt0112966,The Englishman Who Went Up a Hill But Came Down a Mountain,1995
tt0114660,Things to Do in Denver When You're Dead,1995
tt0112541,Blue in the Face,1995
tt0114478,Smoke,1995
tt0110907,Ready to Wear,1994
tt0110912,Pulp Fiction,1994
tt0110999,The Road Killers,1994
tt0107606,Mother's Boys,1993
tt0107146,The Advocate,1993
tt0108399,True Romance,1993
tt0107685,The Night We Never Met,1993
tt0106386,Benefit of the Doubt,1993
tt0104522,Into the West,1992
tt0104155,Dust Devil,1992
tt0104812,Map of the Human Heart,1992
tt0102691,The Pope Must Diet,1991
tt0102749,A Rage in Harlem,1991
tt0099136,Crossing the Line,1990
tt0099740,Hardware,1990
tt0100708,Strike It Rich,1990
tt0100003,The Lemon Sisters,1989
tt0098260,Scandal,1989
tt0084648,The Secret Policeman's Other Ball,1982
tt0082118,The Burning,1981
